time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2023-11-21 00:52;44.4477;6.8597;6.936;4.1;mb;31;91;0.618;0.68;us;us6000lprc;2023-11-21 06:05;10 km WSW of Acceglio, Italy;earthquake;2.19;5.01;0.174;9;reviewed;us;us
2023-10-29 16:30;36.8754;-3.4809;10;2.8;ml;7;158;2.751;0.2;us;us7000l7f4;2023-10-29 17:20;4 km S of Lanjarón, Spain;earthquake;6.28;2.011;0.181;4;reviewed;us;us
2023-09-30 08:46;42.7665;-6.2979;10;4;mb;17;141;2.543;0.35;us;us6000lbx2;2023-10-22 06:49;Spain;earthquake;5.96;1.926;0.232;5;reviewed;us;us
2023-08-28 13:42;42.5778;0.9428;10.018;4.6;mb;45;94;0.231;0.65;us;us7000krix;2023-11-04 17:35;11 km W of Espot, Spain;earthquake;4.37;4.615;0.109;25;reviewed;us;us
2023-06-24 07:45;44.06;-11.8227;9.882;4.4;mb;34;91;4.844;0.63;us;us7000kats;2023-08-26 16:54;235 km WNW of Mugia, Spain;earthquake;5.57;5.031;0.144;14;reviewed;us;us
2023-06-18 22:06;36.6354;4.7031;10;3.8;mb;24;94;3.273;0.78;us;us6000kpns;2023-08-26 16:54;6 km WSW of el hed, Algeria;earthquake;6.35;1.909;0.294;3;reviewed;us;us
2023-06-16 22:27;46.2995;-1.0212;5;3.9;mb;38;151;4.043;0.9;us;us7000k958;2023-09-09 06:01;2 km WSW of Marans, France;earthquake;8.95;1.962;0.209;6;reviewed;us;us
2023-06-16 12:38;46.2145;-0.7295;5;4.8;mww;71;70;3.884;0.94;us;us7000k90p;2023-09-09 05:59;5 km WNW of Mauzé-sur-le-Mignon, France;earthquake;6.97;1.854;0.051;37;reviewed;us;us
2023-05-16 02:24;44.5555;6.811;8.462;4.1;mb;36;122;0.505;0.38;us;us6000kc87;2023-07-23 21:16;16 km W of Pleyne, Italy;earthquake;3.9;5.085;0.174;9;reviewed;us;us
2023-04-17 09:28;42.979;0.3442;10;4;mb;21;101;0.77;0.95;us;us6000k63c;2023-07-02 22:47;11 km SSW of La Barthe-de-Neste, France;earthquake;3.95;1.981;0.367;2;reviewed;us;us
2023-03-22 10:50;47.3957;6.7567;11.8;4.4;mb;67;68;0.865;0.44;us;us7000jlxj;2023-05-26 17:54;1 km NW of Pont-de-Roide, France;earthquake;3.25;4.825;0.202;8;reviewed;us;us
2023-02-24 04:15;36.6094;-8.0546;10;3.2;ml;8;167;0.81;0.52;us;us6000jr9k;2023-04-29 17:57;46 km SSW of Faro, Portugal;earthquake;3.86;1.994;0.128;8;reviewed;us;us
2022-12-31 02:05;37.1379;-1.8845;9.693;4.2;mb;20;144;0.834;0.47;us;us7000j178;2023-03-07 14:00;1 km SSE of Turre, Spain;earthquake;6.29;7.5;0.303;3;reviewed;us;us
2022-12-07 03:18;36.4851;3.0791;10;4;mb;30;146;3.445;0.73;us;us6000j7k6;2023-02-11 18:03;northern Algeria;earthquake;5.79;1.938;0.163;10;reviewed;us;us
2022-11-20 08:03;36.4721;7.1179;10;4.2;mb;28;141;1.95;0.51;us;us7000is4s;2023-01-30 01:00;27 km W of Guelma, Algeria;earthquake;5.03;1.912;0.176;10;reviewed;us;us
2022-11-20 06:48;37.0304;3.682;10;4.1;mb;32;137;2.898;0.33;us;us7000ir59;2023-01-30 01:00;24 km WNW of Dellys, Algeria;earthquake;4.94;1.937;0.157;11;reviewed;us;us
2022-11-12 08:32;36.3127;3.0727;10;4.8;mb;34;149;3.502;0.97;us;us7000ipav;2023-01-28 14:58;24 km NE of Berrouaghia, Algeria;earthquake;7.54;1.907;0.144;15;reviewed;us;us
2022-09-25 02:18;46.0143;6.7182;4.672;3.3;ml;18;97;0.534;0.51;us;us7000iaw8;2022-12-03 17:02;;earthquake;3.71;7.879;0.064;32;reviewed;us;us
2022-09-19 12:30;36.5606;-11.1552;10;4.5;mb;55;99;1.953;0.93;us;us7000i9bg;2022-11-26 15:57;203 km WSW of Sagres, Portugal;earthquake;9.31;1.858;0.096;34;reviewed;us;us
2022-09-10 11:58;47.7134;7.3642;9.407;3.9;mwr;19;108;0.895;0.87;us;us6000iiqi;2022-11-19 18:02;1 km WSW of Zimmersheim, France;earthquake;3.28;4.472;0.065;23;reviewed;us;us
2022-09-07 12:28;36.574;7.1699;10;4.2;mb;23;165;1.951;0.4;us;us7000i627;2022-11-15 14:06;19 km SSE of Azzaba, Algeria;earthquake;7.02;1.959;0.304;3;reviewed;us;us
2022-08-23 18:29;46.26;7.6997;8.189;2.7;ml;20;79;0.296;0.29;us;us7000i37t;2022-11-01 11:14;4 km S of Turtmann, Switzerland;earthquake;4.8;7.254;0.064;32;reviewed;us;us
2022-08-14 16:20;35.9373;-8.5367;38.552;4.1;mb;33;99;1.216;0.49;us;us6000iav1;2022-10-27 22:25;124 km SSE of Sagres, Portugal;earthquake;6.87;9.221;0.106;24;reviewed;us;us
2022-07-15 23:55;36.4458;-0.1336;10;4.4;mb;29;96;1.334;0.59;us;us6000i2yd;2022-09-27 12:56;60 km NNW of Mostaganem, Algeria;earthquake;8.68;1.886;0.179;11;reviewed;us;us
2022-06-26 15:17;35.913;-0.3922;10;4.6;mb;39;75;1.74;0.69;us;us7000hkfb;2022-09-03 17:03;14 km NW of Aïn el Bya, Algeria;earthquake;7.1;1.8;0.093;34;reviewed;us;us
2022-06-02 08:55;35.6277;-3.4835;10;4.5;mwr;90;60;2.359;0.97;us;us7000hec0;2022-08-06 18:13;58 km NE of Al Hoceïma, Morocco;earthquake;6.3;1.8;0.073;18;reviewed;us;us
2022-05-09 07:13;46.2293;2.5975;10.59;4.2;mb;32;105;1.66;0.42;us;us7000h83c;2022-08-09 02:41;5 km SW of Villebret, France;earthquake;6.7;6.1;0.167;10;reviewed;us;us
2022-05-02 09:37;44.667;7.0936;10;3.3;ml;27;75;0.485;0.55;us;us7000h6d7;2022-08-09 02:35;6 km SW of Crissolo, Italy;earthquake;3;2;0.062;34;reviewed;us;us
2022-03-19 05:59;36.847;5.1868;10;5.2;mww;;27;3.539;0.4;us;us6000h5zu;2023-09-09 16:42;13 km NE of Bejaïa, Algeria;earthquake;3.8;1.8;0.052;36;reviewed;us;us
2022-03-18 00:48;36.1905;3.0865;10;4.1;mb;;100;3.56;0.61;us;us6000h5lr;2022-05-27 10:55;16 km ENE of Berrouaghia, Algeria;earthquake;8.2;1.9;0.197;8;reviewed;us;us
2022-03-12 12:03;45.7171;6.2859;2.69;4.5;mb;;62;0.72;0.72;us;us6000h41e;2022-05-27 10:55;3 km S of Faverges, France;earthquake;2.6;5.5;0.135;16;reviewed;us;us
2022-02-11 02:53;36.3658;-8.8696;10;4.1;mb;;188;0.766;0.51;us;us7000gldj;2022-04-19 13:40;71 km S of Sagres, Portugal;earthquake;6.5;2;0.214;7;reviewed;us;us
2022-01-31 21:03;42.4715;1.3526;5.75;4;mb;;59;0.146;0.57;us;us7000ggv1;2022-04-15 13:57;7 km ESE of Farrera, Spain;earthquake;3.2;4.3;0.26;4;reviewed;us;us
2022-01-27 09:44;42.5729;-9.361;10;3.9;mb;;166;2.564;0.48;us;us7000gfjt;2022-04-09 16:19;30 km W of Santa Uxía de Ribeira, Spain;earthquake;8.3;2;0.194;7;reviewed;us;us
2022-01-01 16:03;36.3199;-7.6651;6.92;4.3;mb;;127;1.186;0.5;us;us7000g8da;2022-03-12 17:19;80 km SSE of Olhão, Portugal;earthquake;2.6;4.6;0.08;44;reviewed;us;us
2021-12-28 14:25;36.7381;6.8615;11.57;4.3;mb;;90;2.245;0.93;us;us7000g9yv;2022-04-28 07:40;15 km SSW of Skikda, Algeria;earthquake;2;4.9;0.169;14;reviewed;us;us
2021-12-24 18:59;47.3748;6.8239;9.23;4.1;mb;;88;0.871;0.76;us;us6000gf4p;2022-03-05 18:10;2 km WSW of Blamont, France;earthquake;3.8;5.9;0.262;4;reviewed;us;us
2021-10-29 00:32;44.2064;-7.6942;10;4.2;mb;;108;3.805;1.22;us;us7000fpmj;2022-01-14 12:58;53 km NNE of Cariño, Spain;earthquake;9.2;1.9;0.215;6;reviewed;us;us
2021-10-19 13:43;37.0419;-5.2649;15.15;4;mb;;141;0.949;0.68;us;us6000fvy1;2021-12-25 17:58;8 km W of Villanueva de San Juan, Spain;earthquake;5.4;2;0.211;6;reviewed;us;us
2021-10-05 01:39;46.0321;7.4204;5;4.1;mb;;47;0.341;0.74;us;us6000frtq;2021-12-10 16:14;10 km SSW of Evolène, Switzerland;earthquake;4.3;1.9;0.184;8;reviewed;us;us
2021-08-12 17:25;37.189;-3.7468;10;4.6;mb;;65;2.1;1.09;us;us6000f4uc;2021-10-23 11:46;2 km W of Santafé, Spain;earthquake;7;1.8;0.076;51;reviewed;us;us
2021-07-30 22:01;36.3132;1.6646;10;4.4;mb;;74;2.485;1.28;us;us6000f0vh;2021-10-13 21:04;5 km NNW of El Abadia, Algeria;earthquake;5;1.8;0.155;14;reviewed;us;us
2021-07-19 15:21;36.6973;5.6209;10;4.6;mb;;69;3.162;0.84;us;us7000eni2;2022-08-09 02:18;18 km SW of Jijel, Algeria;earthquake;6.4;1.9;0.054;103;reviewed;us;us
