,Name,GenreId
0,For Those About To Rock (We Salute You),1
1,Balls to the Wall,1
2,Fast As a Shark,1
3,Restless and Wild,1
4,Princess of the Dawn,1
5,Put The Finger On You,1
6,Let's Get It Up,1
7,Inject The Venom,1
8,Snowballed,1
9,Evil Walks,1
10,C.O.D.,1
11,Breaking The Rules,1
12,Night Of The Long Knives,1
13,Spellbound,1
14,Go Down,1
15,Dog Eat Dog,1
16,Let There Be Rock,1
17,Bad Boy Boogie,1
18,Problem Child,1
19,Overdose,1
20,Hell Ain't A Bad Place To Be,1
21,Whole Lotta Rosie,1
22,Walk On Water,1
23,Love In An Elevator,1
24,Rag Doll,1
25,What It Takes,1
26,Dude (Looks Like A Lady),1
27,Janie's Got A Gun,1
28,Cryin',1
29,Amazing,1
30,Blind Man,1
31,Deuces Are Wild,1
32,The Other Side,1
33,Crazy,1
34,Eat The Rich,1
35,Angel,1
36,Livin' On The Edge,1
37,All I Really Want,1
38,You Oughta Know,1
39,Perfect,1
40,Hand In My Pocket,1
41,Right Through You,1
42,Forgiven,1
43,You Learn,1
44,Head Over Feet,1
45,Mary Jane,1
46,Ironic,1
47,Not The Doctor,1
48,Wake Up,1
49,You Oughta Know (Alternate),1
50,We Die Young,1
51,Man In The Box,1
52,Sea Of Sorrow,1
53,Bleed The Freak,1
54,I Can't Remember,1
55,"Love, Hate, Love",1
56,It Ain't Like That,1
57,Sunshine,1
58,Put You Down,1
59,Confusion,1
60,I Know Somethin (Bout You),1
61,Real Thing,1
62,Desafinado,2
63,Garota De Ipanema,2
64,Samba De Uma Nota Só (One Note Samba),2
65,Por Causa De Você,2
66,Ligia,2
67,Fotografia,2
68,Dindi (Dindi),2
69,Se Todos Fossem Iguais A Você (Instrumental),2
70,Falando De Amor,2
71,Angela,2
72,Corcovado (Quiet Nights Of Quiet Stars),2
73,Outra Vez,2
74,O Boto (Bôto),2
75,"Canta, Canta Mais",2
76,Enter Sandman,3
77,Master Of Puppets,3
78,Harvester Of Sorrow,3
79,The Unforgiven,3
80,Sad But True,3
81,Creeping Death,3
82,Wherever I May Roam,3
83,Welcome Home (Sanitarium),3
84,Cochise,1
85,Show Me How to Live,1
86,Gasoline,1
87,What You Are,1
88,Like a Stone,1
89,Set It Off,1
90,Shadow on the Sun,1
91,I am the Highway,1
92,Exploder,1
93,Hypnotize,1
94,Bring'em Back Alive,1
95,Light My Way,1
96,Getaway Car,1
97,The Last Remaining Light,1
98,Your Time Has Come,4
99,Out Of Exile,4
100,Be Yourself,4
101,Doesn't Remind Me,4
102,Drown Me Slowly,4
103,Heaven's Dead,4
104,The Worm,4
105,Man Or Animal,4
106,Yesterday To Tomorrow,4
107,Dandelion,4
108,#1 Zero,4
109,The Curse,4
110,Money,5
111,Long Tall Sally,5
112,Bad Boy,5
113,Twist And Shout,5
114,Please Mr. Postman,5
115,C'Mon Everybody,5
116,Rock 'N' Roll Music,5
117,Slow Down,5
118,Roadrunner,5
119,Carol,5
120,Good Golly Miss Molly,5
121,20 Flight Rock,5
122,Quadrant,2
123,Snoopy's search-Red baron,2
124,"Spanish moss-""A sound portrait""-Spanish moss",2
125,Moon germs,2
126,Stratus,2
127,The pleasant pheasant,2
128,Solo-Panhandler,2
129,Do what cha wanna,2
130,Intro/ Low Down,3
131,13 Years Of Grief,3
132,Stronger Than Death,3
133,All For You,3
134,Super Terrorizer,3
135,Phoney Smile Fake Hellos,3
136,Lost My Better Half,3
137,Bored To Tears,3
138,A.N.D.R.O.T.A.Z.,3
139,Born To Booze,3
140,World Of Trouble,3
141,No More Tears,3
142,The Begining... At Last,3
143,Heart Of Gold,3
144,Snowblind,3
145,Like A Bird,3
146,Blood In The Wall,3
147,The Beginning...At Last,3
148,Black Sabbath,3
149,The Wizard,3
150,Behind The Wall Of Sleep,3
151,N.I.B.,3
152,Evil Woman,3
153,Sleeping Village,3
154,Warning,3
155,Wheels Of Confusion / The Straightener,3
156,Tomorrow's Dream,3
157,Changes,3
158,FX,3
159,Supernaut,3
160,Snowblind,3
161,Cornucopia,3
162,Laguna Sunrise,3
163,St. Vitus Dance,3
164,Under The Sun/Every Day Comes and Goes,3
165,Smoked Pork,4
166,Body Count's In The House,4
167,Now Sports,4
168,Body Count,4
169,A Statistic,4
170,Bowels Of The Devil,4
171,The Real Problem,4
172,KKK Bitch,4
173,D Note,4
174,Voodoo,4
175,The Winner Loses,4
176,There Goes The Neighborhood,4
177,Oprah,4
178,Evil Dick,4
179,Body Count Anthem,4
180,Momma's Gotta Die Tonight,4
181,Freedom Of Speech,4
182,King In Crimson,3
183,Chemical Wedding,3
184,The Tower,3
185,Killing Floor,3
186,Book Of Thel,3
187,Gates Of Urizen,3
188,Jerusalem,3
189,Trupets Of Jericho,3
190,Machine Men,3
191,The Alchemist,3
192,Realword,3
193,First Time I Met The Blues,6
194,Let Me Love You Baby,6
195,Stone Crazy,6
196,Pretty Baby,6
197,When My Left Eye Jumps,6
198,Leave My Girl Alone,6
199,She Suits Me To A Tee,6
200,Keep It To Myself (Aka Keep It To Yourself),6
201,My Time After Awhile,6
202,Too Many Ways (Alternate),6
203,Talkin' 'Bout Women Obviously,6
204,Jorge Da Capadócia,7
205,Prenda Minha,7
206,Meditação,7
207,Terra,7
208,Eclipse Oculto,7
209,"Texto ""Verdade Tropical""",7
210,Bem Devagar,7
211,Drão,7
212,Saudosismo,7
213,Carolina,7
214,Sozinho,7
215,Esse Cara,7
216,Mel,7
217,Linha Do Equador,7
218,Odara,7
219,A Luz De Tieta,7
220,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,7
221,Vida Boa,7
222,Sozinho (Hitmakers Classic Mix),7
223,Sozinho (Hitmakers Classic Radio Edit),7
224,Sozinho (Caêdrum 'n' Bass),7
225,Carolina,7
226,Essa Moça Ta Diferente,7
227,Vai Passar,7
228,Samba De Orly,7
229,"Bye, Bye Brasil",7
230,Atras Da Porta,7
231,Tatuagem,7
232,O Que Será (À Flor Da Terra),7
233,Morena De Angola,7
234,Apesar De Você,7
235,A Banda,7
236,Minha Historia,7
237,Com Açúcar E Com Afeto,7
238,Brejo Da Cruz,7
239,Meu Caro Amigo,7
240,Geni E O Zepelim,7
241,Trocando Em Miúdos,7
242,Vai Trabalhar Vagabundo,7
243,Gota D'água,7
244,Construção / Deus Lhe Pague,7
245,Mateus Enter,7
246,O Cidadão Do Mundo,7
247,Etnia,7
248,Quilombo Groove [Instrumental],7
249,Macô,7
250,Um Passeio No Mundo Livre,7
251,Samba Do Lado,7
252,Maracatu Atômico,7
253,O Encontro De Isaac Asimov Com Santos Dumont No Céu,7
254,Corpo De Lama,7
255,Sobremesa,7
256,Manguetown,7
257,Um Satélite Na Cabeça,7
258,Baião Ambiental [Instrumental],7
259,Sangue De Bairro,7
260,Enquanto O Mundo Explode,7
261,Interlude Zumbi,7
262,Criança De Domingo,7
263,Amor De Muito,7
264,Samidarish [Instrumental],7
265,Maracatu Atômico [Atomic Version],7
266,Maracatu Atômico [Ragga Mix],7
267,Maracatu Atômico [Trip Hop],7
268,Banditismo Por Uma Questa,7
269,Banditismo Por Uma Questa,7
270,Rios Pontes & Overdrives,7
271,Cidade,7
272,Praiera,7
273,Samba Makossa,7
274,Da Lama Ao Caos,7
275,Maracatu De Tiro Certeiro,7
276,Salustiano Song,7
277,Antene Se,7
278,Risoflora,7
279,Lixo Do Mangue,7
280,Computadores Fazem Arte,7
281,Girassol,8
282,A Sombra Da Maldade,8
283,Johnny B. Goode,8
284,Soldado Da Paz,8
285,Firmamento,8
286,Extra,8
287,O Erê,8
288,Podes Crer,8
289,A Estrada,8
290,Berlim,8
291,Já Foi,8
292,Onde Você Mora?,8
293,Pensamento,8
294,Conciliação,8
295,Realidade Virtual,8
296,Mensagem,8
297,A Cor Do Sol,8
298,Onde Você Mora?,8
299,O Erê,8
300,A Sombra Da Maldade,8
301,A Estrada,8
302,Falar A Verdade,8
303,Firmamento,8
304,Pensamento,8
305,Realidade Virtual,8
306,Doutor,8
307,Na Frente Da TV,8
308,Downtown,8
309,Sábado A Noite,8
310,A Cor Do Sol,8
311,Eu Também Quero Beijar,8
312,Noite Do Prazer,7
313,À Francesa,7
314,Cada Um Cada Um (A Namoradeira),7
315,Linha Do Equador,7
316,Amor Demais,7
317,Férias,7
318,Gostava Tanto De Você,7
319,Flor Do Futuro,7
320,Felicidade Urgente,7
321,Livre Pra Viver,7
322,"Dig-Dig, Lambe-Lambe (Ao Vivo)",9
323,Pererê,9
324,TriboTchan,9
325,"Tapa Aqui, Descobre Ali",9
326,Daniela,9
327,Bate Lata,9
328,Garotas do Brasil,9
329,Levada do Amor (Ailoviu),9
330,Lavadeira,9
331,Reboladeira,9
332,É que Nessa Encarnação Eu Nasci Manga,9
333,Reggae Tchan,9
334,My Love,9
335,Latinha de Cerveja,9
336,You Shook Me,1
337,I Can't Quit You Baby,1
338,Communication Breakdown,1
339,Dazed and Confused,1
340,The Girl I Love She Got Long Black Wavy Hair,1
341,What is and Should Never Be,1
342,Communication Breakdown(2),1
343,Travelling Riverside Blues,1
344,Whole Lotta Love,1
345,Somethin' Else,1
346,Communication Breakdown(3),1
347,I Can't Quit You Baby(2),1
348,You Shook Me(2),1
349,How Many More Times,1
350,Debra Kadabra,1
351,Carolina Hard-Core Ecstasy,1
352,Sam With The Showing Scalp Flat Top,1
353,Poofter's Froth Wyoming Plans Ahead,1
354,200 Years Old,1
355,Cucamonga,1
356,Advance Romance,1
357,Man With The Woman Head,1
358,Muffin Man,1
359,Vai-Vai 2001,10
360,X-9 2001,10
361,Gavioes 2001,10
362,Nene 2001,10
363,Rosas De Ouro 2001,10
364,Mocidade Alegre 2001,10
365,Camisa Verde 2001,10
366,Leandro De Itaquera 2001,10
